Sample_ID;treatment;time;mortality;treatment_time;genotype;rack;season;batch;PCR;dominant_clade
92_C1_T0-18h;C;t0;0;Control_t0;G92;C1;Winter;t0_control;pcr1;C
60_C1_T0-18h;C;t0;0;Control_t0;G60;C1;Winter;t0_control;pcr1;D
64_C1_T0-18h;C;t0;0;Control_t0;G64;C1;Winter;t0_control;pcr1;C
19_C1_T0-18h;C;t0;0;Control_t0;G19;C1;Winter;t0_control;pcr1;C
62_C1_T0-18h;C;t0;0;Control_t0;G62;C1;Winter;t0_control;pcr1;C
64Y_C1_T0-18h;C;t0;0;Control_t0;G64Y;C1;Winter;t0_control;pcr1;C
90_C1_T0-18h;C;t0;0;Control_t0;G90;C1;Winter;t0_control;pcr1;C
58_C1_T0-18h;C;t0;0;Control_t0;G58;C1;Winter;t0_control;pcr2;D
64Y_S1_T0-18h;S;t0;0;Shade_t0;G64Y;S1;Winter;t0_shade;pcr1;C
P1R2_C1_T0-18h;C;t0;0;Control_t0;GP1R2;C1;Winter;t0_control;pcr2;C
62_S1_T0-18h;S;t0;0;Shade_t0;G62;S1;Winter;t0_shade;pcr1;C
90_S1_T0-18h;S;t0;0;Shade_t0;G90;S1;Winter;t0_shade;pcr1;C
19_S1_T0-18h;S;t0;0;Shade_t0;G19;S1;Winter;t0_shade;pcr1;C
60_S1_T0-18h;S;t0;0;Shade_t0;G60;S1;Winter;t0_shade;pcr1;D
58_S1_T0-18h;S;t0;0;Shade_t0;G58;S1;Winter;t0_shade;pcr2;D
64_S1_T0-18h;S;t0;0;Shade_t0;G64;S1;Winter;t0_shade;pcr1;C
92_S1_T0-18h;S;t0;0;Shade_t0;G92;S1;Winter;t0_shade;pcr1;C
P1R2_S1_T0-18h;S;t0;0;Shade_t0;GP1R2;S1;Winter;t0_shade;pcr2;C
58_C2_T0-18h;C;t0;0;Control_t0;G58;C2;Winter;t0_control;pcr3;D
90_C2_T0-18h;C;t0;0;Control_t0;G90;C2;Winter;t0_control;pcr3;C
62_C2_T0-18h;C;t0;0;Control_t0;G62;C2;Winter;t0_control;pcr3;C
19_C2_T0-18h;C;t0;0;Control_t0;G19;C2;Winter;t0_control;pcr2;C
P1R2_C2_T0-18h;C;t0;0;Control_t0;GP1R2;C2;Winter;t0_control;pcr2;C
92_C2_T0-18h;C;t0;0;Control_t0;G92;C2;Winter;t0_control;pcr2;C
64Y_C2_T0-18h;C;t0;0;Control_t0;G64Y;C2;Winter;t0_control;pcr2;C
64_C2_T0-18h;C;t0;0;Control_t0;G64;C2;Winter;t0_control;pcr2;C
60_C2_T0-18h;C;t0;0;Control_t0;G60;C2;Winter;t0_control;pcr2;D
19_S2_T0-18h;S;t0;0;Shade_t0;G19;S2;Winter;t0_shade;pcr2;C
62_S2_T0-18h;S;t0;0;Shade_t0;G62;S2;Winter;t0_shade;pcr2;C
64Y_S2_T0-18h;S;t0;0;Shade_t0;G64Y;S2;Winter;t0_shade;pcr2;C
P1R2_S2_T0-18h;S;t0;0;Shade_t0;GP1R2;S2;Winter;t0_shade;pcr2;C
60_S2_T0-18h;S;t0;0;Shade_t0;G60;S2;Winter;t0_shade;pcr2;D
92_S2_T0-18h;S;t0;0;Shade_t0;G92;S2;Winter;t0_shade;pcr2;C
64_S2_T0-18h;S;t0;0;Shade_t0;G64;S2;Winter;t0_shade;pcr2;C
58_S2_T0-18h;S;t0;0;Shade_t0;G58;S2;Winter;t0_shade;pcr2;D
90_S2_T0-18h;S;t0;0;Shade_t0;G90;S2;Winter;t0_shade;pcr3;C
90_C3_T0-18h;C;t0;0;Control_t0;G90;C3;Winter;t0_control;pcr3;C
64_C3_T0-18h;C;t0;0;Control_t0;G64;C3;Winter;t0_control;pcr3;C
92_C3_T0-18h;C;t0;0;Control_t0;G92;C3;Winter;t0_control;pcr3;C
P1R2_C3_T0-18h;C;t0;0;Control_t0;GP1R2;C3;Winter;t0_control;pcr3;C
60_C3_T0-18h;C;t0;0;Control_t0;G60;C3;Winter;t0_control;pcr3;D
62_C3_T0-18h;C;t0;0;Control_t0;G62;C3;Winter;t0_control;pcr3;C
19_C3_T0-18h;C;t0;0;Control_t0;G19;C3;Winter;t0_control;pcr3;C
58_C3_T0-18h;C;t0;0;Control_t0;G58;C3;Winter;t0_control;pcr3;D
64Y_C3_T0-18h;C;t0;0;Control_t0;G64Y;C3;Winter;t0_control;pcr3;C
64Y_S3_T0-18h;S;t0;0;Shade_t0;G64Y;S3;Winter;t0_shade;pcr3;C
64_S3_T0-18h;S;t0;0;Shade_t0;G64;S3;Winter;t0_shade;pcr3;C
19_S3_T0-18h;S;t0;0;Shade_t0;G19;S3;Winter;t0_shade;pcr3;C
58_S3_T0-18h;S;t0;0;Shade_t0;G58;S3;Winter;t0_shade;pcr3;D
92_S3_T0-18h;S;t0;0;Shade_t0;G92;S3;Winter;t0_shade;pcr3;C
60_S3_T0-18h;S;t0;0;Shade_t0;G60;S3;Winter;t0_shade;pcr3;D
90_S3_T0-18h;S;t0;0;Shade_t0;G90;S3;Winter;t0_shade;pcr3;C
62_S3_T0-18h;S;t0;0;Shade_t0;G62;S3;Winter;t0_shade;pcr3;C
P1R2_S3_T0-18h;S;t0;0;Shade_t0;GP1R2;S3;Winter;t0_shade;pcr3;C
58_C1_T0+6M;C;t0+06m;0;Control_t0+06m;G58;C1;Summer;t0+06m_control;pcr2;D
64_C1_T0+6M;C;t0+06m;0.45;Control_t0+06m;G64;C1;Summer;t0+06m_control;pcr1;C
60_C1_T0+6M;C;t0+06m;0;Control_t0+06m;G60;C1;Summer;t0+06m_control;pcr1;D
64Y_C1_T0+6M;C;t0+06m;0;Control_t0+06m;G64Y;C1;Summer;t0+06m_control;pcr1;C
19_C1_T0+6M;C;t0+06m;0;Control_t0+06m;G19;C1;Summer;t0+06m_control;pcr1;C
92_C1_T0+6M;C;t0+06m;0;Control_t0+06m;G92;C1;Summer;t0+06m_control;pcr1;C
90_C1_T0+6M;C;t0+06m;0;Control_t0+06m;G90;C1;Summer;t0+06m_control;pcr2;C
62_C1_T0+6M;C;t0+06m;0;Control_t0+06m;G62;C1;Summer;t0+06m_control;pcr2;C
58_S1_T0+6M;S;t0+06m;0.15;Shade_t0+06m;G58;S1;Summer;t0+06m_shade;pcr2;D
60_S1_T0+6M;S;t0+06m;0;Shade_t0+06m;G60;S1;Summer;t0+06m_shade;pcr1;D
92_S1_T0+6M;S;t0+06m;0.15;Shade_t0+06m;G92;S1;Summer;t0+06m_shade;pcr1;C
62_S1_T0+6M;S;t0+06m;0.1;Shade_t0+06m;G62;S1;Summer;t0+06m_shade;pcr1;C
90_S1_T0+6M;S;t0+06m;0;Shade_t0+06m;G90;S1;Summer;t0+06m_shade;pcr1;C
64_S1_T0+6M;S;t0+06m;0;Shade_t0+06m;G64;S1;Summer;t0+06m_shade;pcr1;C
64Y_S1_T0+6M;S;t0+06m;0;Shade_t0+06m;G64Y;S1;Summer;t0+06m_shade;pcr1;C
19_S1_T0+6M;S;t0+06m;0;Shade_t0+06m;G19;S1;Summer;t0+06m_shade;pcr1;C
