",""Sample_ID"",""treatment"",""time"",""mortality"",""treatment_time"",""genotype"",""rack"",""season"",""batch"",""PCR"",""dominant_clade"",""C161"",""C163b"",""C17"",""C17.2"",""C17a"",""C21"",""C21.11"",""C21.14"",""C26.b1"",""C26.b2"",""C2r"",""C31"",""C31.1"",""C31.10"",""C31.5"",""C31.6"",""C31.9"",""C31a"",""C31c"",""C31d"",""C3d"",""D1"",""D1.6"",""D10"",""D11"",""D17"",""D1a"",""D2.2"",""D3"",""D4"",""D5"",""D6"",""D9"""
"1,""19_C1_T0-18h"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"",""7"",""1"",""89"",""230"",""0"",""9"",""5"",""0"",""24"",""13"",""192"",""63"",""0"",""7"",""11"",""18"",""0"",""52"",""2"",""0"",""277"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"2,""19_C1_T0+1.5Y"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"",""27"",""11"",""42"",""336"",""0"",""3"",""5"",""0"",""0"",""0"",""286"",""59"",""0"",""1"",""0"",""5"",""4"",""57"",""4"",""0"",""160"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"3,""19_C1_T0+6M"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"",""79"",""47"",""128"",""168"",""0"",""26"",""19"",""0"",""22"",""15"",""30"",""242"",""0"",""37"",""0"",""58"",""10"",""54"",""46"",""0"",""19"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"4,""19_C2_T0+1.5Y"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"",""20"",""15"",""47"",""329"",""0"",""5"",""1"",""0"",""0"",""0"",""270"",""51"",""0"",""5"",""0"",""3"",""4"",""56"",""2"",""0"",""192"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"5,""19_C2_T0+6M"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"",""21"",""24"",""74"",""242"",""0"",""7"",""10"",""0"",""0"",""0"",""220"",""80"",""10"",""8"",""0"",""12"",""10"",""66"",""11"",""0"",""205"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"6,""19_S1_T0-18h"",""S"",""t0"",0,""Shade_t0"",""G19"",""S1"",""Winter"",""t0_shade"",""pcr1"",""C"",""8"",""3"",""80"",""231"",""0"",""4"",""4"",""0"",""29"",""19"",""194"",""59"",""0"",""7"",""0"",""25"",""4"",""75"",""6"",""0"",""252"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"7,""19_S1_T0+6M"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G19"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"",""81"",""58"",""113"",""163"",""0"",""24"",""24"",""0"",""34"",""0"",""39"",""260"",""0"",""35"",""0"",""51"",""0"",""47"",""51"",""0"",""20"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"8,""19_S2_T0-18h"",""S"",""t0"",0,""Shade_t0"",""G19"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"",""81"",""50"",""89"",""195"",""0"",""26"",""15"",""19"",""0"",""0"",""41"",""183"",""0"",""52"",""29"",""22"",""80"",""23"",""32"",""0"",""32"",""0"",""0"",""0"",""0"",""31"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"9,""19_S2_T0+1.5Y"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G19"",""S2"",""Winter"",""t0+18m_shade"",""pcr4"",""C"",""27"",""10"",""46"",""345"",""0"",""3"",""6"",""0"",""0"",""0"",""267"",""50"",""0"",""4"",""0"",""6"",""2"",""59"",""0"",""0"",""175"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"10,""19_S2_T0+6M"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G19"",""S2"",""Summer"",""t0+06m_shade"",""pcr2"",""C"",""16"",""22"",""85"",""275"",""0"",""15"",""0"",""0"",""0"",""0"",""241"",""77"",""0"",""9"",""0"",""18"",""6"",""61"",""7"",""0"",""168"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"11,""19_S3_T0+1.5Y"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G19"",""S3"",""Winter"",""t0+18m_shade"",""pcr4"",""C"",""24"",""15"",""64"",""320"",""0"",""1"",""0"",""0"",""0"",""0"",""262"",""45"",""0"",""6"",""0"",""6"",""6"",""50"",""5"",""0"",""196"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"12,""58_C1_T0-18h"",""C"",""t0"",0,""Control_t0"",""G58"",""C1"",""Winter"",""t0_control"",""pcr2"",""D"",""30"",""0"",""0"",""56"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""61"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""42"",""18"",""17"",""0"",""496"",""132"",""15"",""0"",""0"",""0"",""110"",""23"""
"13,""58_C1_T0+1.5Y"",""C"",""t0+1.5Y"",0.35,""Control_t0+18m"",""G58"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"",""0"",""0"",""0"",""37"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""5"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""134"",""12"",""103"",""0"",""433"",""55"",""80"",""0"",""0"",""0"",""87"",""54"""
