Sample_ID;seq_ID;count;total_seq;percent;clade
64_C1_T0+6M;C3d;142;3867;0.036720972;C
64_C1_T0+6M;C21;157;3867;0.040599948;C
64_C1_T0+6M;C31.10;1200;3867;0.310318076;C
64_C1_T0+6M;C21.11;152;3867;0.039306956;C
64_C1_T0+6M;C161;550;3867;0.142229118;C
64_C1_T0+6M;C21.14;44;3867;0.011378329;C
64_C1_T0+6M;C17;696;3867;0.179984484;C
64_C1_T0+6M;C17a;70;3867;0.018101888;C
64_C1_T0+6M;C31c;626;3867;0.161882596;C
64_C1_T0+6M;C26.b2;102;3867;0.026377036;C
64_C1_T0+6M;C26.b1;128;3867;0.033100595;C
60_C1_T0+6M;D5;63;3617;0.01741775;D
60_C1_T0+6M;D1a;579;3617;0.160077412;D
60_C1_T0+6M;D2.2;99;3617;0.027370749;D
60_C1_T0+6M;D10;121;3617;0.033453138;D
60_C1_T0+6M;C17.2;234;3617;0.064694498;C
60_C1_T0+6M;D9;149;3617;0.04119436;D
60_C1_T0+6M;D6;487;3617;0.134641968;D
60_C1_T0+6M;D3;33;3617;0.009123583;D
60_C1_T0+6M;D1.6;43;3617;0.011888305;D
60_C1_T0+6M;D17;1393;3617;0.385125795;D
60_C1_T0+6M;D1;416;3617;0.115012441;D
64Y_C1_T0+6M;C163b;235;4427;0.053083352;C
64Y_C1_T0+6M;C17;691;4427;0.156087644;C
64Y_C1_T0+6M;C31a;151;4427;0.034108877;C
64Y_C1_T0+6M;C31.10;167;4427;0.037723063;C
64Y_C1_T0+6M;C2r;149;4427;0.033657104;C
64Y_C1_T0+6M;C31c;175;4427;0.039530156;C
64Y_C1_T0+6M;C26.b1;94;4427;0.021233341;C
64Y_C1_T0+6M;C3d;117;4427;0.026428733;C
64Y_C1_T0+6M;C26.b2;95;4427;0.021459227;C
64Y_C1_T0+6M;C21.11;79;4427;0.017845042;C
64Y_C1_T0+6M;C31.6;185;4427;0.041789022;C
64Y_C1_T0+6M;C17.2;1047;4427;0.236503275;C
64Y_C1_T0+6M;C31;743;4427;0.167833747;C
64Y_C1_T0+6M;C21;90;4427;0.020329794;C
64Y_C1_T0+6M;C161;409;4427;0.092387621;C
19_C1_T0+6M;C31.9;69;6067;0.011373001;C
19_C1_T0+6M;C163b;314;6067;0.051755398;C
19_C1_T0+6M;C21.11;109;6067;0.017966046;C
19_C1_T0+6M;C161;457;6067;0.075325532;C
19_C1_T0+6M;C17;759;6067;0.125103016;C
19_C1_T0+6M;C31.6;369;6067;0.060820834;C
19_C1_T0+6M;C31a;253;6067;0.041701005;C
19_C1_T0+6M;C26.b1;124;6067;0.020438437;C
19_C1_T0+6M;C31;1486;6067;0.244931597;C
19_C1_T0+6M;C21;115;6067;0.018955002;C
19_C1_T0+6M;C2r;189;6067;0.031152134;C
19_C1_T0+6M;C26.b2;106;6067;0.017471567;C
19_C1_T0+6M;C31c;310;6067;0.051096094;C
19_C1_T0+6M;C31.10;225;6067;0.037085874;C
19_C1_T0+6M;C17.2;1069;6067;0.17619911;C
19_C1_T0+6M;C3d;113;6067;0.01862535;C
60_S1_T0+6M;D1a;736;4314;0.170607325;D
60_S1_T0+6M;D17;1867;4314;0.432777005;D
60_S1_T0+6M;D2.2;102;4314;0.02364395;D
60_S1_T0+6M;D6;622;4314;0.144181734;D
60_S1_T0+6M;D9;180;4314;0.041724618;D
60_S1_T0+6M;D1.6;45;4314;0.010431154;D
60_S1_T0+6M;D5;76;4314;0.017617061;D
60_S1_T0+6M;D1;469;4314;0.108715809;D
60_S1_T0+6M;D3;51;4314;0.011821975;D
60_S1_T0+6M;D10;166;4314;0.038479369;D
64_S1_T0+6M;C163b;121;2973;0.04069963;C
64_S1_T0+6M;C31.6;207;2973;0.06962664;C
64_S1_T0+6M;C31.10;117;2973;0.039354188;C
64_S1_T0+6M;C31;995;2973;0.334678776;C
64_S1_T0+6M;C3d;35;2973;0.01177262;C
64_S1_T0+6M;C17.2;272;2973;0.091490077;C
64_S1_T0+6M;C31.1;263;2973;0.088462832;C
64_S1_T0+6M;C31.5;48;2973;0.016145308;C
64_S1_T0+6M;C17;261;2973;0.087790111;C
64_S1_T0+6M;C26.b2;33;2973;0.011099899;C
64_S1_T0+6M;C21;41;2973;0.013790784;C
64_S1_T0+6M;C2r;57;2973;0.019172553;C
64_S1_T0+6M;C31c;192;2973;0.064581231;C
