",""Sample_ID"",""symbiont_ID"",""count"",""treatment"",""time"",""mortality"",""treatment_time"",""genotype"",""rack"",""season"",""batch"",""PCR"",""dominant_clade"""
"1,""19_C1_T0-18h"",""C161"",""7"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"2,""19_C1_T0-18h"",""C163b"",""1"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"3,""19_C1_T0-18h"",""C17"",""89"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"4,""19_C1_T0-18h"",""C17.2"",""230"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"5,""19_C1_T0-18h"",""C17a"",""0"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"6,""19_C1_T0-18h"",""C21"",""9"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"7,""19_C1_T0-18h"",""C21.11"",""5"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"8,""19_C1_T0-18h"",""C21.14"",""0"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"9,""19_C1_T0-18h"",""C26.b1"",""24"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"10,""19_C1_T0-18h"",""C26.b2"",""13"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"11,""19_C1_T0-18h"",""C2r"",""192"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"12,""19_C1_T0-18h"",""C31"",""63"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"13,""19_C1_T0-18h"",""C31.1"",""0"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"14,""19_C1_T0-18h"",""C31.10"",""7"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"15,""19_C1_T0-18h"",""C31.5"",""11"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"16,""19_C1_T0-18h"",""C31.6"",""18"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"17,""19_C1_T0-18h"",""C31.9"",""0"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"18,""19_C1_T0-18h"",""C31a"",""52"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"19,""19_C1_T0-18h"",""C31c"",""2"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"20,""19_C1_T0-18h"",""C31d"",""0"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"21,""19_C1_T0-18h"",""C3d"",""277"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"22,""19_C1_T0-18h"",""D1"",""0"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"23,""19_C1_T0-18h"",""D1.6"",""0"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"24,""19_C1_T0-18h"",""D10"",""0"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"25,""19_C1_T0-18h"",""D11"",""0"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"26,""19_C1_T0-18h"",""D17"",""0"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"27,""19_C1_T0-18h"",""D1a"",""0"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"28,""19_C1_T0-18h"",""D2.2"",""0"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"29,""19_C1_T0-18h"",""D3"",""0"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"30,""19_C1_T0-18h"",""D4"",""0"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"31,""19_C1_T0-18h"",""D5"",""0"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"32,""19_C1_T0-18h"",""D6"",""0"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"33,""19_C1_T0-18h"",""D9"",""0"",""C"",""t0"",0,""Control_t0"",""G19"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"""
"34,""19_C1_T0+1.5Y"",""C161"",""27"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"35,""19_C1_T0+1.5Y"",""C163b"",""11"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"36,""19_C1_T0+1.5Y"",""C17"",""42"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"37,""19_C1_T0+1.5Y"",""C17.2"",""336"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"38,""19_C1_T0+1.5Y"",""C17a"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"39,""19_C1_T0+1.5Y"",""C21"",""3"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"40,""19_C1_T0+1.5Y"",""C21.11"",""5"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"41,""19_C1_T0+1.5Y"",""C21.14"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"42,""19_C1_T0+1.5Y"",""C26.b1"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"43,""19_C1_T0+1.5Y"",""C26.b2"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"44,""19_C1_T0+1.5Y"",""C2r"",""286"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"45,""19_C1_T0+1.5Y"",""C31"",""59"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"46,""19_C1_T0+1.5Y"",""C31.1"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"47,""19_C1_T0+1.5Y"",""C31.10"",""1"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"48,""19_C1_T0+1.5Y"",""C31.5"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"49,""19_C1_T0+1.5Y"",""C31.6"",""5"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"50,""19_C1_T0+1.5Y"",""C31.9"",""4"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"51,""19_C1_T0+1.5Y"",""C31a"",""57"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"52,""19_C1_T0+1.5Y"",""C31c"",""4"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"53,""19_C1_T0+1.5Y"",""C31d"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"54,""19_C1_T0+1.5Y"",""C3d"",""160"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"55,""19_C1_T0+1.5Y"",""D1"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"56,""19_C1_T0+1.5Y"",""D1.6"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"57,""19_C1_T0+1.5Y"",""D10"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"58,""19_C1_T0+1.5Y"",""D11"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"59,""19_C1_T0+1.5Y"",""D17"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"60,""19_C1_T0+1.5Y"",""D1a"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"61,""19_C1_T0+1.5Y"",""D2.2"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"62,""19_C1_T0+1.5Y"",""D3"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"63,""19_C1_T0+1.5Y"",""D4"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"64,""19_C1_T0+1.5Y"",""D5"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"65,""19_C1_T0+1.5Y"",""D6"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"66,""19_C1_T0+1.5Y"",""D9"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"67,""19_C1_T0+6M"",""C161"",""79"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"68,""19_C1_T0+6M"",""C163b"",""47"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"69,""19_C1_T0+6M"",""C17"",""128"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"70,""19_C1_T0+6M"",""C17.2"",""168"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"71,""19_C1_T0+6M"",""C17a"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
