id;chl_a;ddx;ddx-chla;treatment;position;treatment_position
tip_Shade1_1;29.21896273;7.913530123;0.270835423;Shade;tip;Shade tip
tip_Shade1_2;32.30874714;10.40726057;0.322118977;Shade;tip;Shade tip
tip_Shade1_3;23.22589198;3.691119643;0.158922622;Shade;tip;Shade tip
tip_Shade1_4;38.39967089;10.57413317;0.275370411;Shade;tip;Shade tip
body_Shade1_1;49.20336434;13.01086199;0.264430332;Shade;body;Shade body
body_Shade1_2;59.58800765;15.67092199;0.26298785;Shade;body;Shade body
body_Shade1_3;60.47735248;14.36297441;0.237493439;Shade;body;Shade body
body_Shade1_4;53.39784699;13.65063073;0.255640096;Shade;body;Shade body
body_Shade1_5;42.98333845;10.12532812;0.235564023;Shade;body;Shade body
tip_Shade2_1;42.09016712;11.8603816;0.281785092;Shade;tip;Shade tip
tip_Shade2_2;41.47877156;10.93528201;0.263635629;Shade;tip;Shade tip
tip_Shade2_3;47.62314733;12.70992434;0.266885434;Shade;tip;Shade tip
tip_Shade2_4;44.04356843;14.24112577;0.323341779;Shade;tip;Shade tip
body_Shade2_1;52.67932739;12.55206251;0.238273022;Shade;body;Shade body
body_Shade2_2;45.19916985;11.27967058;0.249554817;Shade;body;Shade body
body_Shade2_3;51.38526289;11.69802713;0.227653348;Shade;body;Shade body
body_Shade2_4;49.73113784;11.15652508;0.224336815;Shade;body;Shade body
tip_Shade3_1;43.36930007;8.977463546;0.207000425;Shade;tip;Shade tip
tip_Shade3_2;35.96804855;9.679969997;0.269126916;Shade;tip;Shade tip
tip_Shade3_3;24.47720929;7.147798038;0.292018504;Shade;tip;Shade tip
tip_Shade3_4;21.7408425;5.703912956;0.262359334;Shade;tip;Shade tip
body_Shade3_1;52.50560744;13.64902584;0.259953679;Shade;body;Shade body
body_Shade3_2;48.30542783;11.40390063;0.236079073;Shade;body;Shade body
body_Shade3_3;45.50763255;11.17018207;0.245457332;Shade;body;Shade body
body_Shade3_4;40.21894373;9.81106467;0.243941381;Shade;body;Shade body
body_Shade3_5;45.30289436;9.696296549;0.214032606;Shade;body;Shade body
tip_Shade4_1;36.08837204;8.599327056;0.238285258;Shade;tip;Shade tip
tip_Shade4_2;34.20903403;7.626488112;0.222937839;Shade;tip;Shade tip
tip_Shade4_3;19.03991711;3.601066854;0.189132486;Shade;tip;Shade tip
tip_Shade4_4;26.72811449;5.38277768;0.201390101;Shade;tip;Shade tip
body_Shade4_1;40.84559275;7.516288731;0.18401713;Shade;body;Shade body
body_Shade4_2;39.26614524;7.735020945;0.196989567;Shade;body;Shade body
body_Shade4_3;29.24642976;4.82363488;0.164930726;Shade;body;Shade body
body_Shade4_4;46.62977551;10.03561039;0.21521893;Shade;body;Shade body
body_Shade4_5;39.53708759;8.227876115;0.208105266;Shade;body;Shade body
tip_Shade5_1;35.59215432;8.741909931;0.245613397;Shade;tip;Shade tip
tip_Shade5_2;38.38735828;11.19346305;0.291592429;Shade;tip;Shade tip
tip_Shade5_3;36.65897947;10.22227519;0.278847784;Shade;tip;Shade tip
tip_Shade5_4;24.54250892;6.313392883;0.257243174;Shade;tip;Shade tip
body_Shade5_1;38.59008057;10.00605027;0.259290733;Shade;body;Shade body
body_Shade5_2;35.06319767;9.331678268;0.266138826;Shade;body;Shade body
body_Shade5_3;37.55444096;10.11539775;0.269352905;Shade;body;Shade body
body_Shade5_4;34.10959837;9.183427192;0.269232932;Shade;body;Shade body
body_Shade5_5;35.12916023;6.465693113;0.184054873;Shade;body;Shade body
tip_Shade6_1;21.62183137;5.639701008;0.260833641;Shade;tip;Shade tip
tip_Shade6_2;36.37965267;9.423407175;0.259029608;Shade;tip;Shade tip
body_Shade6_1;49.66655435;9.979885622;0.200937749;Shade;body;Shade body
body_Shade6_2;48.64293222;13.3621185;0.274698047;Shade;body;Shade body
body_Shade6_3;38.89730419;9.630482083;0.247587392;Shade;body;Shade body
body_Shade6_4;42.02263882;11.26556689;0.268083281;Shade;body;Shade body
tip_Shade7_1;40.8307599;12.35291055;0.302539325;Shade;tip;Shade tip
tip_Shade7_2;44.82337931;10.04211655;0.224037471;Shade;tip;Shade tip
tip_Shade7_3;50.31065944;13.08205627;0.260025538;Shade;tip;Shade tip
body_Shade7_1;46.54904859;11.95511634;0.256828371;Shade;body;Shade body
body_Shade7_2;48.97290659;14.57284196;0.297569472;Shade;body;Shade body
body_Shade7_3;41.32287808;9.939908905;0.240542512;Shade;body;Shade body
body_Shade7_4;43.57730053;10.86015667;0.249215911;Shade;body;Shade body
body_Shade7_5;45.26654209;11.20951486;0.247633558;Shade;body;Shade body
tip_Shade8_1;32.10118996;11.10497428;0.345936531;Shade;tip;Shade tip
tip_Shade8_2;28.90890996;9.162933628;0.316958808;Shade;tip;Shade tip
tip_Shade8_3;27.61594421;7.900433121;0.28608231;Shade;tip;Shade tip
tip_Shade8_4;31.51915111;8.615934252;0.27335553;Shade;tip;Shade tip
body_Shade8_1;38.8444829;10.16859659;0.261777113;Shade;body;Shade body
body_Shade8_2;27.79590907;8.95857481;0.32229832;Shade;body;Shade body
body_Shade8_3;34.90023633;10.17143102;0.291443041;Shade;body;Shade body
body_Shade8_4;39.35376329;11.1532943;0.283411124;Shade;body;Shade body
body_Shade8_5;42.86672889;10.30060442;0.240293689;Shade;body;Shade body
tip_Shade9_1;51.96310037;13.00543491;0.25028212;Shade;tip;Shade tip
