"Sample_ID"	"code"	"treatment"	"time"	"treatment_time"	"rack"	"genotype"	"mortality"	"rugosity"	"V"	"SV_ratio"	"convexity"	"packing"	"top_heaviness"	"fractal_dimension"	"surface_area"
"C1_1_t0"	"C1_1"	"Control"	"0yr"	"Control_0yr"	"C1"	"58"	0	5.24295	205.52	3.2593	0.215639152196552	1.278535	3747290	2.14	66997.1
"C1_1_t1"	"C1_1"	"Control"	"1yr"	"Control_1yr"	"C1"	"58"	0	8.305	487.86	3.2593	0.22689471168579	1.56556541800466	5754139.281561	2.37734089823741	159010.558590344
"C1_2_t0"	"C1_2"	"Control"	"0yr"	"Control_0yr"	"C1"	"64"	0	6.89517	230.51	3.1949	0.306971021471592	1.66145712373471	3121036.1788981	2.3844902635046	73647.2889578654
"C1_2_t1"	"C1_2"	"Control"	"1yr"	"Control_1yr"	"C1"	"64"	0	8.704	1057.18	2.2526	0.288983218853524	1.85474003464099	14117091.2082839	2.39108813580717	238145.534001078
"C1_3_t1"	"C1_3"	"Control"	"1yr"	"Control_1yr"	"C1"	"60"	0	NA	725.73	2.2066	0.213012423651938	1.33215014999145	11176287.2611635	2.28236877171197	160148.081568696
"C1_4_t0"	"C1_4"	"Control"	"0yr"	"Control_0yr"	"C1"	"64Y"	0	8.21616	532.06	2.5106	0.244054117351983	1.52171885974001	8150768.01652479	2.35273155478194	133583.887390041
"C1_5_t0"	"C1_5"	"Control"	"0yr"	"Control_0yr"	"C1"	"19"	0	9.07715	433.62	2.6724	0.317211394375252	1.59813186661287	9569003.8845097	2.28084214457974	115885.33224265
"C1_5_t1"	"C1_5"	"Control"	"1yr"	"Control_1yr"	"C1"	"19"	0	9.624	1588.38	1.8553	0.325249159909379	1.76293292227787	16348231.4945054	2.35084569737234	294694.452564851
"C1_6_t0"	"C1_6"	"Control"	"0yr"	"Control_0yr"	"C1"	"P1R2"	0	5.6748	240.7	3.6268	0.261385736886085	1.65880154406136	3666207.41179286	2.3360737392513	87318.7391996653
"C1_6_t1"	"C1_6"	"Control"	"1yr"	"Control_1yr"	"C1"	"P1R2"	0	7.589	1107.8	2.6176	0.298507547855662	2.22394742081785	16329206.7206638	2.36430899587419	289990.622919788
"C1_7_t0"	"C1_7"	"Control"	"0yr"	"Control_0yr"	"C1"	"92"	0	3.50073	157.2	4.4515	0.19191756870797	1.38754986122205	2982241.57602069	2.32735198515917	69991.2953710854
"C1_7_t1"	"C1_7"	"Control"	"1yr"	"Control_1yr"	"C1"	"92"	0	4.395	606.7	3.3079	0.200254415218427	1.67457439193555	9698147.67901385	2.3417760198051	200708.202202049
"C1_9_t0"	"C1_9"	"Control"	"0yr"	"Control_0yr"	"C1"	"62"	0	7.26617	489.49	1.8154	0.412315455645311	1.48067238696272	4411080.75489605	2.35117749380645	88866.4458850487
"C1_9_t1"	"C1_9"	"Control"	"1yr"	"Control_1yr"	"C1"	"62"	0	3.401	907	1.8908	0.305485931560207	1.55480594695385	11784437.7542066	2.33191837967724	171505.618419983
"C2_1_t0"	"C2_1"	"Control"	"0yr"	"Control_0yr"	"C2"	"62"	0	6.75682	260.9	2.2155	0.417658087513353	1.46822880554671	2641487.5830419	2.30935197249801	57810.9772631774
"C2_3_t0"	"C2_3"	"Control"	"0yr"	"Control_0yr"	"C2"	"P1R2"	0	8.1915	452.5	3.0973	0.222464864009137	1.59822584459302	8378754.82921395	2.31480866657443	140158.723895146
"C2_3_t1"	"C2_3"	"Control"	"1yr"	"Control_1yr"	"C2"	"P1R2"	0	7.283	1784.5	2.3588	0.272775250661326	2.20649145450476	54126950.2169311	2.42187567850458	420954.589477461
"C2_4_t0"	"C2_4"	"Control"	"0yr"	"Control_0yr"	"C2"	"19"	0	9.179417	426.6	2.5235	0.319711461863008	1.61724676266592	4585122.6851505	2.33013163939507	107675.234995032
"C2_4_t1"	"C2_4"	"Control"	"1yr"	"Control_1yr"	"C2"	"19"	0	6.562	1579.1	1.8127	0.303761814644754	1.7410554137274	30971700.0155971	2.28965143488218	286259.896649284
"C2_5_t0"	"C2_5"	"Control"	"0yr"	"Control_0yr"	"C2"	"64"	0	12.4	291.4	3.3212	0.266588504613814	1.63650623229326	5031205.90138949	2.37461349582001	96795.5455175031
"C2_5_t1"	"C2_5"	"Control"	"1yr"	"Control_1yr"	"C2"	"64"	0	9.931	1028.4	2.3243	0.279180665490795	1.81856138944593	15424049.3038911	2.33161650375703	239033.129827052
"C2_6_t0"	"C2_6"	"Control"	"0yr"	"Control_0yr"	"C2"	"90"	0	10.97597	257.7	2.4622	0.451346118561537	1.7294257006947	2653084.33640374	2.41676738054316	63455.7915703684
"C2_6_t1"	"C2_6"	"Control"	"1yr"	"Control_1yr"	"C2"	"90"	0	12.021	743.8	2.6871	0.301835733271526	1.97602729404289	8749054.37706354	2.42255297176298	199873.627625266
"C2_7_t0"	"C2_7"	"Control"	"0yr"	"Control_0yr"	"C2"	"60"	0	7.49136	273.7	2.4452	0.343723223979968	1.45185769652632	2739438.88765493	2.33037039851158	66942.2632252227
"C2_7_t1"	"C2_7"	"Control"	"1yr"	"Control_1yr"	"C2"	"60"	0	5.443	484.5	2.6841	0.242748776249618	1.51340537502119	7650514.66834051	2.33295354537818	130047.41244121
"C2_8_t0"	"C2_8"	"Control"	"0yr"	"Control_0yr"	"C2"	"64Y"	0	11.33509	323.3	3.1623	0.231688624914902	1.51320387632383	5276510.32915954	2.24225417898425	102247.752230655
"C2_8_t1"	"C2_8"	"Control"	"1yr"	"Control_1yr"	"C2"	"64Y"	0	5.062	893	2.6165	0.18904795388614	1.58190269709253	18467059.4808936	2.24119238321031	233686.226827512
"C2_9_t0"	"C2_9"	"Control"	"0yr"	"Control_0yr"	"C2"	"92"	0	3.94362	115.4	4.0817	0.294310521996572	1.2831585004016	1088225.76807318	2.27075906093272	47133.3258251255
"C2_9_t1"	"C2_9"	"Control"	"1yr"	"Control_1yr"	"C2"	"92"	1	6.054	255.6	2.9296	0.266028553977993	1.29335060496786	1884973.24799805	2.32283314731626	74901.1782907341
"C3_1_t0"	"C3_1"	"Control"	"0yr"	"Control_0yr"	"C3"	"90"	0	12.457	264.7	4.0039	0.236224328273816	1.84405102893194	5604684.76577937	2.32103448047792	106002.902142455
"C3_1_t1"	"C3_1"	"Control"	"1yr"	"Control_1yr"	"C3"	"90"	0	7.155	1169.2	2.6429	0.293091159384562	2.36171312064783	22430929.4591034	2.39084593248772	309028.023789433
"C3_2_t0"	"C3_2"	"Control"	"0yr"	"Control_0yr"	"C3"	"64"	0	10.8901	333.6	2.9286	0.332187621208751	1.74857921549615	4614706.73940836	2.30928374513605	97716.6478538024
"C3_2_t1"	"C3_2"	"Control"	"1yr"	"Control_1yr"	"C3"	"64"	0	10.48	1219.8	2.2119	0.275279712246659	1.78966009317983	14726735.0413774	2.30700547139519	269828.816293416
"C3_3_t0"	"C3_3"	"Control"	"0yr"	"Control_0yr"	"C3"	"92"	0	3.761727	252	4.1416	0.182261627448222	1.34236542269836	4172659.12555448	2.30508693985887	104399.86722301
"C3_4_t0"	"C3_4"	"Control"	"0yr"	"Control_0yr"	"C3"	"P1R2"	0	7.18206	474.7	2.7085	0.298204255130244	1.64670783325892	5854242.93697724	2.33778056072713	128588.195547896
"C3_4_t1"	"C3_4"	"Control"	"1yr"	"Control_1yr"	"C3"	"P1R2"	0	8.18	1722.7	1.7419	0.34090825291411	1.83487202194698	17757318.8340818	2.45223710154173	300092.208181813
"C3_5_t0"	"C3_5"	"Control"	"0yr"	"Control_0yr"	"C3"	"60"	0	5.011301	181.9	3.5791	0.261061637734679	1.39584899728481	2397564.00620661	2.26361176249535	65119.0046688148
"C3_5_t1"	"C3_5"	"Control"	"1yr"	"Control_1yr"	"C3"	"60"	1	11.536	568	2.3639	0.27243797450582	1.4783061364791	5914607.49602097	2.35833524939297	134289.696314459
"C3_6_t0"	"C3_6"	"Control"	"0yr"	"Control_0yr"	"C3"	"62"	0	8.22404	369.6	2.4986	0.283628426654338	1.44494139867149	5271041.19560344	2.3248707800205	92356.2082139077
"C3_6_t1"	"C3_6"	"Control"	"1yr"	"Control_1yr"	"C3"	"62"	0	11.863	418.9	2.8293	0.253351223053423	1.55844876569705	9347183.79092971	2.24209430094475	118536.206710258
"C3_7_t0"	"C3_7"	"Control"	"0yr"	"Control_0yr"	"C3"	"19"	0	8.03406	300.4	2.2347	0.446648238184004	1.5569451348164	2393879.20609539	2.33750022430345	67136.1872750858
"C3_7_t1"	"C3_7"	"Control"	"1yr"	"Control_1yr"	"C3"	"19"	1	9.525	410.2	1.6852	0.46231470988872	1.36554570981796	2429201.32924361	2.35596820182723	69143.395040307
"C3_9_t0"	"C3_9"	"Control"	"0yr"	"Control_0yr"	"C3"	"64Y"	0	5.242629	615.4	2.2834	0.295590946257251	1.64190828217392	7745795.32344732	2.36156767198719	140530.748071336
"C3_9_t1"	"C3_9"	"Control"	"1yr"	"Control_1yr"	"C3"	"64Y"	0	4.93273	1441.6	1.478	0.311768886732356	1.45556326312383	16905071.8580657	2.31042403261022	213079.358368534
"S1_1_t0"	"S1_1"	"Shade"	"0yr"	"Shade_0yr"	"S1"	"58"	0	4.05401	211.58	4.3398	0.208572929426657	1.5816449719457	3309998.37065324	2.27206734197247	91825.0703083757
"S1_1_t1"	"S1_1"	"Shade"	"1yr"	"Shade_1yr"	"S1"	"58"	0	1.003	381.31	3.147	0.197623968882024	1.39647029035746	4190765.39367033	2.28473355764752	120007.557206024
"S1_2_t0"	"S1_2"	"Shade"	"0yr"	"Shade_0yr"	"S1"	"60"	0	7.9244	312.7	3.2784	0.217295240831675	1.51835846887249	4375545.46384343	2.32717367463741	102518.850202486
"S1_2_t1"	"S1_2"	"Shade"	"1yr"	"Shade_1yr"	"S1"	"60"	0	3.238	671.4	2.7903	0.139556344540498	1.16595920588951	8722552.440373	2.22144477727861	187341.703456898
"S1_3_t0"	"S1_3"	"Shade"	"0yr"	"Shade_0yr"	"S1"	"92"	0	5.44159	235.76	3.2664	0.262467377741956	1.28436084194376	2295728.06142853	2.27211454838637	77064.267979629
"S1_3_t1"	"S1_3"	"Shade"	"1yr"	"Shade_1yr"	"S1"	"92"	1	3.684	389.12	3.5624	0.192165474730002	1.38864240194776	5561865.81443684	2.30748653669761	138622.209192357
"S1_4_t0"	"S1_4"	"Shade"	"0yr"	"Shade_0yr"	"S1"	"62"	0	7.89032	488.49	2.1869	0.363561618446019	1.54795395054838	4106787.16450381	2.24007624372567	106833.316473745
"S1_4_t1"	"S1_4"	"Shade"	"1yr"	"Shade_1yr"	"S1"	"62"	0	6.972	609.17	2.2606	0.318248467874638	1.45628514169197	5999882.11361124	2.2779461351285	137714.986134895
