"Sample_ID"	"code"	"treatment"	"time"	"treatment_time"	"rack"	"genotype"	"mortality"	"lr_volume"	"lr_SA"	"lr_SV_ratio"	"lr_packing"	"lr_rugosity"	"lr_convexity"	"lr_toph"
"C1_1_t1"	"C1_1"	"Control"	"1yr"	"Control_1yr"	"C1"	"58"	0	0.375441120189867	0.375369958748419	0.531260757363574	0.0879585981918457	0.199763920753575	0.0220967580551745	0.186263065854247
"C1_2_t1"	"C1_2"	"Control"	"1yr"	"Control_1yr"	"C1"	"64"	0	0.661459167717808	0.509685676908691	-1.01622173274056	0.0477939081600455	0.10117390420601	-0.0262247551846171	0.655446417615316
"C1_5_t1"	"C1_5"	"Control"	"1yr"	"Control_1yr"	"C1"	"19"	0	0.563845104929379	0.405343490386021	-1.24186679184332	0.0426231767849944	0.025406102106167	0.0108674045118495	0.232604047904484
"C1_6_t1"	"C1_6"	"Control"	"1yr"	"Control_1yr"	"C1"	"P1R2"	0	0.662985270535635	0.52127649858517	-0.751451543849005	0.12733008437445	0.126233992763382	0.0576734312607005	0.648748055980461
"C1_7_t1"	"C1_7"	"Control"	"1yr"	"Control_1yr"	"C1"	"92"	0	0.586521453240659	0.457521089522182	-0.601331748370625	0.0816558472415055	0.0988002630840386	0.0184673670357821	0.512145972570421
"C1_9_t1"	"C1_9"	"Control"	"1yr"	"Control_1yr"	"C1"	"62"	0	0.267863463217528	0.285540540446098	0.83314686607961	0.0212172157786933	-0.329698922507578	-0.130238400012714	0.426763858184062
"C2_3_t1"	"C2_3"	"Control"	"1yr"	"Control_1yr"	"C2"	"P1R2"	0	0.595897968750457	0.477615114081834	-0.39820892113366	0.140064100535199	-0.0510531256369542	0.0885435350558758	0.810234074743743
"C2_4_t1"	"C2_4"	"Control"	"1yr"	"Control_1yr"	"C2"	"19"	0	0.568388782424351	0.424644681887264	-0.83314686607961	0.032036303454693	-0.14577887326416	-0.0222250277150614	0.829614083464608
"C2_5_t1"	"C2_5"	"Control"	"1yr"	"Control_1yr"	"C2"	"64"	0	0.547672520536852	0.39260272628191	-1.12190046746235	0.0458103026139915	-0.0964287032715294	0.0200439196009775	0.486526313679464
"C2_6_t1"	"C2_6"	"Control"	"1yr"	"Control_1yr"	"C2"	"90"	0	0.460341755472049	0.498284228781319	1.24186679184332	0.0578910303596707	0.0394976858206864	-0.174739058931814	0.518210060182575
